ni,cu,mo,cr,fe,w,mn,si,c,al,ti,v,nb,ta,acid con,temp,Corr
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,90,37.5,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,5,50,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,10,50,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,15,50,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,20,50,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,25,50,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,30,50,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,35,50,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,40,50,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,45,50,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,50,50,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,55,50,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,60,50,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,65,50,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,70,50,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,75,50,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,80,50,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,85,50,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,90,50,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,90,50,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,5,62.5,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,10,62.5,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,15,62.5,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,20,62.5,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,25,62.5,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,30,62.5,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,35,62.5,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,40,62.5,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,45,62.5,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,50,62.5,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,55,62.5,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,60,62.5,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,65,62.5,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,70,62.5,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,75,62.5,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,80,62.5,0
